alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-18
alt_diff: -2.923549736369523 , velocity_diff: 0.05216139301370126
alt_diff: -1.3307278375115175 , velocity_diff: 0.05115194260445597
alt_diff: 0.23361197979377835 , velocity_diff: 0.05008226217323034
alt_diff: 1.7676349913007812 , velocity_diff: 0.04895525277779741
alt_diff: 3.2702596587670882 , velocity_diff: 0.04781812457156689
alt_diff: 4.741124286282542 , velocity_diff: 0.04667181213177205
alt_diff: 6.179894495443563 , velocity_diff: 0.045517184011286696
alt_diff: 7.586261285126739 , velocity_diff: 0.04435504724370953
alt_diff: 8.959939223967638 , velocity_diff: 0.04318615154587771
alt_diff: 10.300664766794398 , velocity_diff: 0.04201119323599656
alt_diff: 11.608194686775562 , velocity_diff: 0.04083081888505312
alt_diff: 12.882304615538061 , velocity_diff: 0.03964562871855382
alt_diff: 14.122787683993238 , velocity_diff: 0.03845617978492516
alt_diff: 15.328846568451212 , velocity_diff: 0.037222642662451635
alt_diff: 16.4991128421737 , velocity_diff: 0.03594668639012873
alt_diff: 17.632266041394473 , velocity_diff: 0.03462987357385078
alt_diff: 18.727030564825384 , velocity_diff: 0.033273663854646085
alt_diff: 19.78217267267462 , velocity_diff: 0.03187941735181351
alt_diff: 20.796497584350163 , velocity_diff: 0.030448398050159343
alt_diff: 21.768846673129474 , velocity_diff: 0.028981777105684153
alt_diff: 22.698094755329237 , velocity_diff: 0.02748063604852178
alt_diff: 23.583689085033143 , velocity_diff: 0.02598201390362891
alt_diff: 24.425094667349242 , velocity_diff: 0.02445018332999433
alt_diff: 25.221254387218607 , velocity_diff: 0.022886004079357973
alt_diff: 25.971135466468525 , velocity_diff: 0.021290258263211785
alt_diff: 26.673727186751307 , velocity_diff: 0.019663652759547044
alt_diff: 27.32803868020426 , velocity_diff: 0.018006821468397834
alt_diff: 27.933096783273697 , velocity_diff: 0.016320327410302732
alt_diff: 28.48794394896106 , velocity_diff: 0.014604664662902412
alt_diff: 28.992132262864004 , velocity_diff: 0.012893296916241269
alt_diff: 29.445712799085356 , velocity_diff: 0.011186061970921365
alt_diff: 29.848731924518518 , velocity_diff: 0.009482793282796557
alt_diff: 30.20073983305474 , velocity_diff: 0.00775058863816256
alt_diff: 30.500797351498136 , velocity_diff: 0.005989701571463664
alt_diff: 30.74797177133422 , velocity_diff: 0.0042003261602803705
alt_diff: 30.941335075761458 , velocity_diff: 0.0023825977420332883
alt_diff: 31.079962183189878 , velocity_diff: 0.0005365934732923733
alt_diff: 31.16292920226374 , velocity_diff: 0.0013376672732253597
alt_diff: 31.189311693285788 , velocity_diff: 0.003240222679233012
alt_diff: 31.15818293072806 , velocity_diff: 0.005171168424765603
alt_diff: 31.068612161302326 , velocity_diff: 0.003277166972595353
alt_diff: 30.919662851830367 , velocity_diff: 0.0012793216932001257
alt_diff: 30.710390920891314 , velocity_diff: 0.0007509088377756958
alt_diff: 30.439842947931254 , velocity_diff: 0.002813838519390162
alt_diff: 30.107054353189028 , velocity_diff: 0.00490983922122686
alt_diff: 29.711047541418907 , velocity_diff: 0.007039341958734179
alt_diff: 29.25127634835235 , velocity_diff: 0.009173058113818466
alt_diff: 28.727625650507832 , velocity_diff: 0.011311494696627731
alt_diff: 28.139514412053643 , velocity_diff: 0.013485177636959455
alt_diff: 27.485892731256172 , velocity_diff: 0.015694731361232218
alt_diff: 26.76568944534347 , velocity_diff: 0.017940846665700914
alt_diff: 25.977809967318876 , velocity_diff: 0.02022428336491473
alt_diff: 25.121580044175573 , velocity_diff: 0.022516092589629638
alt_diff: 24.196749025791462 , velocity_diff: 0.0248169080756057
alt_diff: 23.203045544040037 , velocity_diff: 0.027127365376036452
alt_diff: 22.139721449239687 , velocity_diff: 0.029478552435469554
alt_diff: 21.005543534850176 , velocity_diff: 0.03187151708628849
alt_diff: 19.799243245536786 , velocity_diff: 0.03430739363092389
alt_diff: 18.519513797786374 , velocity_diff: 0.03678740789683248
alt_diff: 17.165007122222562 , velocity_diff: 0.0393128828290874
alt_diff: 15.734791045449697 , velocity_diff: 0.04185446482969807
alt_diff: 14.22835825303676 , velocity_diff: 0.044413037338861636
alt_diff: 12.644699944334803 , velocity_diff: 0.04702102172490804
alt_diff: 10.98229055178058 , velocity_diff: 0.0496801003527601
alt_diff: 9.239547627528452 , velocity_diff: 0.05239208332382531
alt_diff: 7.415307527244124 , velocity_diff: 0.05512679857925491
alt_diff: 5.508838945370655 , velocity_diff: 0.05788536365130856
alt_diff: 3.518876424581549 , velocity_diff: 0.06070205597865113
alt_diff: 1.4435981466422732 , velocity_diff: 0.06357917050877125
alt_diff: -0.7188960153425796 , velocity_diff: 0.0665191760283047
alt_diff: -2.970590597404197 , velocity_diff: 0.06952472925785878
alt_diff: -5.313561178353041 , velocity_diff: 0.07259869041087617
alt_diff: -7.749981607564365 , velocity_diff: 0.0757441403717213
alt_diff: -10.282131895631665 , velocity_diff: 0.07896439966174415
alt_diff: -12.912406845420037 , velocity_diff: 0.08226304937475488
alt_diff: -15.643325511039848 , velocity_diff: 0.08564395427380868
alt_diff: -18.477541583560367 , velocity_diff: 0.08911128824742191
alt_diff: -21.417854815012703 , velocity_diff: 0.09266956232217954
alt_diff: -24.467223606484595 , velocity_diff: 0.09632365541541475
alt_diff: -27.62877890193431 , velocity_diff: 0.10007884797905026
alt_diff: -30.905839546681364 , velocity_diff: 0.10394085862293835
alt_diff: -34.30192928814952 , velocity_diff: 0.10791588369670574
alt_diff: -37.82079561581975 , velocity_diff: 0.11201063962832108
alt_diff: -41.466430656506134 , velocity_diff: 0.11623240752748323
alt_diff: -45.241736113720435 , velocity_diff: 0.12049766350469374
alt_diff: -49.148384786517624 , velocity_diff: 0.1248056890988069
alt_diff: -53.18806483078484 , velocity_diff: 0.12915479117369044
alt_diff: -57.36245452977798 , velocity_diff: 0.13354199450148557
alt_diff: -61.67318818400844 , velocity_diff: 0.13796263677852658
alt_diff: -66.1235592397179 , velocity_diff: 0.14252790571346352
alt_diff: -70.71873827928579 , velocity_diff: 0.14724382370173913
alt_diff: -75.46419252384379 , velocity_diff: 0.15211583380415283
alt_diff: -80.36568831570594 , velocity_diff: 0.1571483053125724
alt_diff: -85.42713481214628 , velocity_diff: 0.16219830068358448
alt_diff: -90.65242352153922 , velocity_diff: 0.16739677440990072
alt_diff: -96.04514465305743 , velocity_diff: 0.17256875271874797
alt_diff: -101.60585942324951 , velocity_diff: 0.1776656490326439
alt_diff: -107.33380382132898 , velocity_diff: 0.18261782507378807
alt_diff: -113.22624484404733 , velocity_diff: 0.18732552526388527
alt_diff: -119.2810714438338 , velocity_diff: 0.19188656656921613
alt_diff: -125.49653548920627 , velocity_diff: 0.1961586248695891
alt_diff: -131.86251549362197 , velocity_diff: 0.1996309418219254
alt_diff: -138.35662287864767 , velocity_diff: 0.20188712210221474
alt_diff: -144.94322530800775 , velocity_diff: 0.2023097448703274
crashed reward
crashed terminal
reward -100.0 for 2
alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-18
alt_diff: -80.17408064962865 , velocity_diff: 0.00011642512237585146
alt_diff: -80.3433363566129 , velocity_diff: 0.00033862031987309885
alt_diff: -80.50452848847789 , velocity_diff: 0.0006668009633140269
alt_diff: -80.65440915297353 , velocity_diff: 0.0011008795612917105
alt_diff: -80.78973062921585 , velocity_diff: 0.0016404387392508295
alt_diff: -80.90725562197431 , velocity_diff: 0.0022847057887656827
alt_diff: -81.00668284993765 , velocity_diff: 0.0028382802866766155
alt_diff: -81.09066119266657 , velocity_diff: 0.0033000312551249903
alt_diff: -81.15897686574874 , velocity_diff: 0.003862257719921073
alt_diff: -81.20854514560858 , velocity_diff: 0.004523854889502791
alt_diff: -81.2363130736336 , velocity_diff: 0.005283354443313066
alt_diff: -81.2392707197142 , velocity_diff: 0.006138909826630369
alt_diff: -81.21446288571931 , velocity_diff: 0.007088285245758206
alt_diff: -81.16195815739809 , velocity_diff: 0.007931867241694757
alt_diff: -81.08484576240403 , velocity_diff: 0.008668059949733681
alt_diff: -80.9862639934725 , velocity_diff: 0.009295691218022852
alt_diff: -80.86938794977559 , velocity_diff: 0.00981399363952053
alt_diff: -80.73452023265796 , velocity_diff: 0.010415562587408972
alt_diff: -80.57910236845373 , velocity_diff: 0.011098588627748134
alt_diff: -80.40062966764785 , velocity_diff: 0.011860977625754568
alt_diff: -80.19666005509751 , velocity_diff: 0.012700350143967426
alt_diff: -79.96482290945559 , velocity_diff: 0.013614044038861116
alt_diff: -79.70282781348757 , velocity_diff: 0.014599120429316277
alt_diff: -79.40847311187301 , velocity_diff: 0.015652373146910384
alt_diff: -79.07965416997055 , velocity_diff: 0.016770341706312083
alt_diff: -78.71728936085495 , velocity_diff: 0.017755119719053643
alt_diff: -78.32238532038156 , velocity_diff: 0.018798590663475463
alt_diff: -77.89312799952819 , velocity_diff: 0.019897302190105243
alt_diff: -77.43069307529402 , velocity_diff: 0.020855685734891438
alt_diff: -76.9377673947302 , velocity_diff: 0.02176857250956133
alt_diff: -76.41565041332973 , velocity_diff: 0.02263424433869939
alt_diff: -75.86569482635699 , velocity_diff: 0.023451220825837404
alt_diff: -75.28929955815829 , velocity_diff: 0.024218256688162344
alt_diff: -74.68790282748759 , velocity_diff: 0.02493433700943752
alt_diff: -74.06297535009307 , velocity_diff: 0.02559867063826597
alt_diff: -73.41601373310161 , velocity_diff: 0.026210681972200542
alt_diff: -72.74853410865506 , velocity_diff: 0.026770001374504616
alt_diff: -72.06341158614322 , velocity_diff: 0.027186979968049585
alt_diff: -71.36483319247878 , velocity_diff: 0.027464179559026868
alt_diff: -70.65691396853387 , velocity_diff: 0.027604489392781838
alt_diff: -69.94239096637503 , velocity_diff: 0.027697282825983525
alt_diff: -69.22265579879868 , velocity_diff: 0.027743459648546156

  0%|                       | 2/10000 [00:06<9:33:16,  3.44s/it]
alt_diff: -67.77932615053814 , velocity_diff: 0.02744805374437702
alt_diff: -67.06333500587226 , velocity_diff: 0.027113530323123927
alt_diff: -66.3560282363691 , velocity_diff: 0.026659323292156867
alt_diff: -65.65852220764546 , velocity_diff: 0.026250811076580893
alt_diff: -64.96945880406841 , velocity_diff: 0.025888017430304777
alt_diff: -64.28747837360393 , velocity_diff: 0.025570904956700564
alt_diff: -63.61122171035757 , velocity_diff: 0.025299375065919304
alt_diff: -62.941728677339995 , velocity_diff: 0.02491385774218938
alt_diff: -62.282382529457465 , velocity_diff: 0.02441760865037277
alt_diff: -61.63530650993326 , velocity_diff: 0.023891610675360817
alt_diff: -61.000230115390366 , velocity_diff: 0.023414685004502993
alt_diff: -60.37570131627035 , velocity_diff: 0.02298690853747353
alt_diff: -59.76142359719893 , velocity_diff: 0.022531225741612176
alt_diff: -59.158237588075366 , velocity_diff: 0.022048792869940333
alt_diff: -58.566951436854225 , velocity_diff: 0.021540757160185962
alt_diff: -57.98720515766033 , velocity_diff: 0.021083832739200288
alt_diff: -57.417488938583375 , velocity_diff: 0.020678078611381625
alt_diff: -56.85629059210564 , velocity_diff: 0.02032350191198876
alt_diff: -56.30209723892534 , velocity_diff: 0.020020056089751898
alt_diff: -55.75564755818567 , velocity_diff: 0.019617880205947257
alt_diff: -55.219890802335385 , velocity_diff: 0.01911942127008396
alt_diff: -54.69770759842626 , velocity_diff: 0.01852715162368453
alt_diff: -54.19190925903996 , velocity_diff: 0.01784354916281764
alt_diff: -53.70523766882329 , velocity_diff: 0.01707107965212553
alt_diff: -53.24036568661421 , velocity_diff: 0.016212181047447285
alt_diff: -52.799898005611084 , velocity_diff: 0.01526924972451656
alt_diff: -52.38637241705828 , velocity_diff: 0.01424462849739266
alt_diff: -52.002261426326356 , velocity_diff: 0.013140596301496978
alt_diff: -51.64997417391615 , velocity_diff: 0.011959359411608318
alt_diff: -51.331858617692404 , velocity_diff: 0.010703044064209579
alt_diff: -51.04817068466738 , velocity_diff: 0.009509100213776881
alt_diff: -50.7981167480599 , velocity_diff: 0.008310265601019832
alt_diff: -50.58087788481342 , velocity_diff: 0.007175368228475721
alt_diff: -50.394590976887 , velocity_diff: 0.006105202594944427
alt_diff: -50.237367153405444 , velocity_diff: 0.005100581541050333
alt_diff: -50.107291347733195 , velocity_diff: 0.004162331626922743
alt_diff: -50.00242198636141 , velocity_diff: 0.0032912880222827155
alt_diff: -49.92079082545786 , velocity_diff: 0.0024882889039946265
alt_diff: -49.86040295101432 , velocity_diff: 0.0017541693582159802
alt_diff: -49.81923695854718 , velocity_diff: 0.0010897547873527811
alt_diff: -49.79524532823618 , velocity_diff: 0.0004958538261164219
alt_diff: -49.78845283537677 , velocity_diff: 0.00016655853289343058
