alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-16
alt_diff: 9.76472669662627 , velocity_diff: 0.759224776407829
alt_diff: 10.079301971352635 , velocity_diff: 0.8616719514211812
alt_diff: 10.424350977490178 , velocity_diff: 0.9684454442966188
alt_diff: 10.801132450174066 , velocity_diff: 1.0794381296509739
alt_diff: 11.210873211584584 , velocity_diff: 1.1945359491105347
alt_diff: 11.65476609102376 , velocity_diff: 1.3136181054030176
alt_diff: 12.133967906580239 , velocity_diff: 1.4365573001807561
alt_diff: 12.649597521625566 , velocity_diff: 1.563220014864726
alt_diff: 13.20273398913551 , velocity_diff: 1.6934668333051004
alt_diff: 13.794414796420341 , velocity_diff: 1.8271528045591539
alt_diff: 14.425634222297788 , velocity_diff: 1.964127843600228
alt_diff: 15.097341818038416 , velocity_diff: 2.104237167302114
alt_diff: 15.810441022571723 , velocity_diff: 2.24732176260026
alt_diff: 16.565787921466608 , velocity_diff: 2.393218883323837
alt_diff: 17.3641901581056 , velocity_diff: 2.5417625718296533
alt_diff: 18.206406004271457 , velocity_diff: 2.6927842012569183
alt_diff: 19.093143596073105 , velocity_diff: 2.846113033968634
alt_diff: 20.025060339776076 , velocity_diff: 3.001576791554942
alt_diff: 21.002762490686905 , velocity_diff: 3.1590022316509607
alt_diff: 22.026804906795974 , velocity_diff: 3.318215726768011
alt_diff: 23.097690977423156 , velocity_diff: 3.479043840354304
alt_diff: 24.215872725669556 , velocity_diff: 3.64131389538717
alt_diff: 25.381751082060134 , velocity_diff: 3.804854530952321
alt_diff: 26.595676325402337 , velocity_diff: 3.9694962424818097
alt_diff: 27.857948685593954 , velocity_diff: 4.135071901596371
alt_diff: 29.168819101909378 , velocity_diff: 4.30141725182318
alt_diff: 30.528490129190175 , velocity_diff: 4.468371376829257
alt_diff: 31.937116983383362 , velocity_diff: 4.63577713821571
alt_diff: 33.39480871700374 , velocity_diff: 4.803481580350227
alt_diff: 34.90162951437395 , velocity_diff: 4.971336300165753
alt_diff: 36.45760009589969 , velocity_diff: 5.13919778031315
alt_diff: 38.062699220189586 , velocity_diff: 5.306927684516947
alt_diff: 39.7168652725141 , velocity_diff: 5.474393114436752
alt_diff: 41.41999792792251 , velocity_diff: 5.641466827776387
alt_diff: 43.17195987729349 , velocity_diff: 5.808027417800708
alt_diff: 44.97257860467141 , velocity_diff: 5.973959454810666
alt_diff: 46.82164820443853 , velocity_diff: 6.139153590486582
alt_diff: 48.71893122717273 , velocity_diff: 6.303506626332503
alt_diff: 50.66416054343523 , velocity_diff: 6.466921547739873
alt_diff: 52.657041215214065 , velocity_diff: 6.629307525433246
alt_diff: 54.697252365295526 , velocity_diff: 6.790579886265046
alt_diff: 56.78444903544448 , velocity_diff: 6.950660055489193
alt_diff: 58.918264024929556 , velocity_diff: 7.109475472767171
alt_diff: 61.09830970161431 , velocity_diff: 7.266959484244639
alt_diff: 63.324179778548796 , velocity_diff: 7.423051213085885
alt_diff: 65.59545104971733 , velocity_diff: 7.577695410868826
alt_diff: 67.91168507932275 , velocity_diff: 7.730842292228091
alt_diff: 70.27242983970814 , velocity_diff: 7.882447355091739
alt_diff: 72.67722129371697 , velocity_diff: 8.032471188790797
alt_diff: 75.1255849179775 , velocity_diff: 8.180879272234659
alt_diff: 77.61703716425103 , velocity_diff: 8.327641764241882
alt_diff: 80.15108685660493 , velocity_diff: 8.47273328799887
alt_diff: 82.72723652275909 , velocity_diff: 8.616132711491545
alt_diff: 85.34498365850004 , velocity_diff: 8.757822925619976
alt_diff: 88.00382192456419 , velocity_diff: 8.897790621566331
alt_diff: 90.70324227585485 , velocity_diff: 9.036026068844187
alt_diff: 93.44273402327735 , velocity_diff: 9.172522895315186
alt_diff: 96.22178582885715 , velocity_diff: 9.307277870318437
alt_diff: 99.03988663513894 , velocity_diff: 9.440290691920989
alt_diff: 101.89652653016145 , velocity_diff: 9.571563779165555
alt_diff: 104.79119754955775 , velocity_diff: 9.701102070065005
alt_diff: 107.72339441754877 , velocity_diff: 9.828912825973807
alt_diff: 110.69261522877957 , velocity_diff: 9.95500544285393
alt_diff: 113.69836207309862 , velocity_diff: 10.079391269848543
alt_diff: 116.74014160549649 , velocity_diff: 10.202083435480407
alt_diff: 119.81746556351249 , velocity_diff: 10.323096681703579
alt_diff: 122.92985123447914 , velocity_diff: 10.44244720595728
alt_diff: 126.07682187501797 , velocity_diff: 10.560152511298648
alt_diff: 129.25790708521578 , velocity_diff: 10.676231264627118
alt_diff: 132.47264313991417 , velocity_diff: 10.790703162956433
alt_diff: 135.7205732795273 , velocity_diff: 10.90358880764097
alt_diff: 139.00124796277277 , velocity_diff: 11.014909586420172
alt_diff: 142.3142250836584 , velocity_diff: 11.124687563108562
alt_diff: 145.65907015501267 , velocity_diff: 11.232945374728153
alt_diff: 149.03535646078603 , velocity_diff: 11.339706135854877
alt_diff: 152.4426651792806 , velocity_diff: 11.444993349930286
alt_diff: 155.88058547938732 , velocity_diff: 11.54883082727413
alt_diff: 159.34871459183654 , velocity_diff: 11.651242609521221
alt_diff: 162.84665785737616 , velocity_diff: 11.752252900198126
alt_diff: 166.3740287537143 , velocity_diff: 11.851886001149863
alt_diff: 169.9304489029705 , velocity_diff: 11.950166254524678
alt_diff: 173.51554806129587 , velocity_diff: 12.047117990025006
alt_diff: 177.12896409223424 , velocity_diff: 12.14276547713502
alt_diff: 180.77034292530965 , velocity_diff: 12.237132882039235
alt_diff: 184.43933850124142 , velocity_diff: 12.330244228952173
alt_diff: 188.13561270510434 , velocity_diff: 12.422123365585893
alt_diff: 191.85883528867055 , velocity_diff: 12.51279393249009
alt_diff: 195.60868378309112 , velocity_diff: 12.602279336007992
alt_diff: 199.38484340299834 , velocity_diff: 12.690602724600819
alt_diff: 203.18700694303914 , velocity_diff: 12.777786968303042
alt_diff: 207.01487466777576 , velocity_diff: 12.863854641080968
alt_diff: 210.8681541958274 , velocity_diff: 12.948828005877402
alt_diff: 214.74656037905754 , velocity_diff: 13.032729002135563
